date,price_forecast,lower,upper
2025-01-12,55.07828706904208,53.29342269641032,56.863151441673836
2025-01-19,55.07761985178902,53.29275547915726,56.862484224420776
2025-01-26,55.07695263453595,53.29208826190419,56.86181700716771
2025-02-02,55.07628541728289,53.29142104465113,56.86114978991465
2025-02-09,55.07561820002982,53.29075382739806,56.86048257266158
2025-02-16,55.07495098277676,53.290086610145,56.85981535540852
2025-02-23,55.074283765523695,53.289419392891936,56.859148138155454
2025-03-02,55.073616548270635,53.28875217563888,56.858480920902394
2025-03-09,55.07294933101757,53.28808495838581,56.85781370364933
2025-03-16,55.07228211376451,53.28741774113275,56.85714648639627
2025-03-23,55.07161489651144,53.28675052387968,56.8564792691432
2025-03-30,55.07094767925838,53.28608330662662,56.85581205189014
2025-04-06,55.070280462005314,53.285416089373555,56.85514483463707
2025-04-13,55.06961324475225,53.28474887212049,56.854477617384006
2025-04-20,55.06894602749919,53.28408165486743,56.853810400130946
2025-04-27,55.06827881024612,53.28341443761436,56.85314318287788
2025-05-04,55.06761159299306,53.2827472203613,56.85247596562482
2025-05-11,55.06694437573999,53.282080003108234,56.85180874837175
2025-05-18,55.06627715848693,53.281412785855174,56.85114153111869
2025-05-25,55.065609941233866,53.28074556860211,56.850474313865625
2025-06-01,55.064942723980806,53.28007835134905,56.849807096612565
2025-06-08,55.06427550672774,53.27941113409598,56.8491398793595
2025-06-15,55.06360828947468,53.27874391684292,56.84847266210644
2025-06-22,55.06294107222161,53.27807669958985,56.84780544485337
2025-06-29,55.06227385496855,53.27740948233679,56.84713822760031
2025-07-06,55.061606637715485,53.276742265083726,56.846471010347244
