date,product,price,quantity,revenue
2024-01-01T00:00:00.000,Widget A,16.64,8,133.12
2024-01-01T00:00:00.000,Widget B,26.97,6,161.82
2024-01-01T00:00:00.000,Gadget X,53.56,4,214.24
2024-01-01T00:00:00.000,Gadget Y,59.59,4,238.36
2024-01-01T00:00:00.000,Premium Z,113.8,3,341.4
2024-01-02T00:00:00.000,Widget A,16.94,11,186.34
2024-01-02T00:00:00.000,Widget B,22.27,9,200.43
2024-01-02T00:00:00.000,Gadget X,50.9,1,50.9
2024-01-02T00:00:00.000,Gadget Y,77.23,1,77.23
2024-01-02T00:00:00.000,Premium Z,138.87,3,416.61
2024-01-03T00:00:00.000,Premium Z,105.09,3,315.27
2024-01-03T00:00:00.000,Gadget X,49.41,3,148.23
2024-01-03T00:00:00.000,Gadget Y,66.37,2,132.74
2024-01-03T00:00:00.000,Widget A,13.17,12,158.04
2024-01-03T00:00:00.000,Widget B,21.54,6,129.24
2024-01-04T00:00:00.000,Widget A,13.36,12,160.32
2024-01-04T00:00:00.000,Widget B,24.37,8,194.96
2024-01-04T00:00:00.000,Gadget X,50.49,6,302.94
2024-01-04T00:00:00.000,Gadget Y,64.07,4,256.28
2024-01-04T00:00:00.000,Premium Z,105.6,1,105.6
2024-01-05T00:00:00.000,Widget A,16.72,10,167.2
2024-01-05T00:00:00.000,Widget B,27.81,6,166.86
2024-01-05T00:00:00.000,Gadget X,46.24,3,138.72
2024-01-05T00:00:00.000,Gadget Y,74.72,1,74.72
2024-01-05T00:00:00.000,Premium Z,123.13,1,123.13
